LGA,LGA name,ABSTUDY_Living_allowance,ABSTUDY_Non_living_allowance,Age_Pension,Austudy,Carer_Allowance,Carer_Allowance_Child_Health_Care_Card_only,Carer_Payment,Commonwealth_Seniors_Health_Card,Double_Orphan_Pension,Disability_Support_Pension,Family_Tax_Benefit_Part_A,Family_Tax_Benefit_Part_B,Health_Care_Card,Low_Income_Card,Newstart_Allowance,Parenting_Payment_Partnered,Parenting_Payment_Single,Partner_Allowance,Pensioner_Concession_Card,Sickness_Allowance,Special_Benefit,Wife_Pension_Partner_on_Age_Pension,Wife_Pension_Partner_on_Disability_Support_Pension,Widow_Allowance,Widow_B_Pension,Youth_Allowance_other,Youth_Allowance_student_and_apprentice
10050,Albury (C),20,53,"5,834",87,"1,335",41,450,624,<20,"2,297","3,802","3,163","3,739",876,"1,882",212,764,21,"10,071",24,<20,<20,<20,48,<20,421,609
10110,Armidale Dumaresq (A),63,101,"2,347",88,531,24,254,461,<20,"1,062","1,779","1,469","2,305",885,860,125,385,<20,"4,355",<20,<20,<20,<20,<20,<20,268,856
10150,Ashfield (A),<20,<20,"4,187",132,780,<20,261,576,<20,"1,018","1,963","1,705","1,873",522,975,119,189,<20,"6,126",<20,44,<20,<20,50,<20,64,374
10200,Auburn (C),<20,<20,"5,367",233,"2,536",87,"1,639",420,<20,"2,485","6,975","6,160","7,961","1,819","3,294","1,250",665,39,"11,459",21,133,65,34,137,<20,397,"1,275"
10250,Ballina (A),25,47,"6,204",102,"1,281",59,548,847,<20,"2,118","3,262","2,646","3,056",486,"1,575",192,522,23,"10,090",<20,<20,<20,20,53,<20,291,237
10300,Balranald (A),<20,<20,250,<20,76,<20,33,26,<20,105,200,149,120,<20,53,<20,34,<20,446,<20,<20,<20,<20,<20,<20,<20,<20
10350,Bankstown (C),34,43,"20,469",351,"8,673",405,"5,226","1,475",<20,"7,627","17,997","16,026","16,200","3,486","7,139","2,491","2,449",123,"39,522",57,131,170,97,383,<20,798,"2,789"
10470,Bathurst Regional (A),42,77,"4,219",83,991,60,372,526,<20,"1,689","2,922","2,506","2,797",857,"1,140",198,651,<20,"7,400",<20,<20,<20,<20,28,<20,286,748
10550,Bega Valley (A),<20,51,"5,612",38,913,21,382,647,<20,"2,014","2,550","2,004","2,166",360,"1,242",184,404,26,"8,964",<20,<20,<20,<20,58,<20,214,132
10600,Bellingen (A),<20,<20,"1,992",44,381,<20,179,237,<20,738,"1,255","1,046","1,128",212,650,114,203,<20,"3,421",<20,<20,<20,<20,23,<20,90,75
10650,Berrigan (A),<20,<20,"1,593",<20,254,<20,92,224,<20,381,624,484,519,108,263,28,117,<20,"2,306",<20,<20,<20,<20,<20,<20,30,32
10750,Blacktown (C),113,389,"23,919",469,"10,063",771,"4,999","1,313",23,"11,357","28,799","25,378","23,057","4,051","10,509","2,043","5,180",124,"50,675",80,225,145,130,498,<20,"1,762","2,811"
10800,Bland (A),<20,<20,784,<20,141,<20,67,166,<20,268,421,354,293,54,133,29,66,<20,"1,236",<20,<20,<20,<20,<20,<20,21,<20
10850,Blayney (A),<20,<20,832,<20,220,<20,79,142,<20,298,536,456,377,34,218,23,106,<20,"1,403",<20,<20,<20,<20,<20,<20,31,<20
10900,Blue Mountains (C),24,37,"9,255",186,"1,751",115,584,"1,137",<20,"2,698","4,910","4,439","4,360",928,"2,197",264,783,<20,"14,274",23,<20,<20,22,106,<20,337,545
10950,Bogan (A),<20,<20,349,<20,54,<20,<20,68,<20,108,250,216,201,25,100,<20,70,<20,574,<20,<20,<20,<20,<20,<20,<20,<20
11000,Bombala (A),<20,<20,364,<20,69,<20,24,48,<20,141,177,137,140,26,74,<20,22,<20,577,<20,<20,<20,<20,<20,<20,<20,<20
11050,Boorowa (A),<20,<20,349,<20,76,<20,29,51,<20,139,190,160,168,36,76,<20,43,<20,596,<20,<20,<20,<20,<20,<20,<20,<20
11100,Botany Bay (C),<20,<20,"4,595",61,"1,107",37,439,387,<20,"1,378","2,176","1,847","2,084",412,"1,046",153,302,<20,"7,184",<20,<20,21,<20,57,<20,104,304
11150,Bourke (A),<20,39,217,<20,68,<20,43,23,<20,163,288,249,336,<20,197,<20,101,<20,568,<20,<20,<20,<20,<20,<20,71,<20
11200,Brewarrina (A),<20,43,109,<20,45,<20,28,<20,<20,162,197,187,252,<20,166,<20,86,<20,424,<20,<20,<20,<20,<20,<20,46,<20
11250,Broken Hill (C),<20,83,"2,956",<20,763,22,313,112,<20,"1,522","1,520","1,404","1,413",121,947,93,471,<20,"5,641",<20,<20,32,40,<20,<20,225,40
11300,Burwood (A),<20,<20,"3,398",103,708,<20,265,511,<20,785,"1,791","1,534","1,842",507,810,131,143,21,"4,982",<20,53,<20,<20,45,<20,56,351
11350,Byron (A),<20,<20,"2,860",183,649,<20,317,467,<20,"1,997","2,992","2,497","3,504",552,"2,271",277,493,<20,"6,559",30,<20,<20,<20,100,<20,240,232
11400,Cabonne (A),<20,<20,"1,581",<20,346,<20,117,262,<20,500,991,815,636,107,281,44,124,<20,"2,421",<20,<20,<20,<20,<20,<20,55,48
