Postcode,ABSTUDY_Living_allowance,ABSTUDY_Non_living_allowance,Age_Pension,Austudy,Carer_Allowance,Carer_Allowance_Child_Health_Care_Card_only,Carer_Payment,Commonwealth_Seniors_Health_Card,Double_Orphan_Pension,Disability_Support_Pension,Family_Tax_Benefit_Part_A,Family_Tax_Benefit_Part_B,Health_Care_Card,Low_Income_Card,Newstart_Allowance,Parenting_Payment_Partnered,Parenting_Payment_Single,Partner_Allowance,Pensioner_Concession_Card,Sickness_Allowance,Special_Benefit,Wife_Pension_Partner_on_Age_Pension,Wife_Pension_Partner_on_Disability_Support_Pension,Widow_Allowance,Widow_B_Pension,Youth_Allowance_other,Youth_Allowance_student_and_apprentice,,,,,,,,
200,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
800,<20,<20,171,<20,20,<20,<20,34,<20,295,135,122,308,22,224,<20,27,<20,505,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
801,<20,<20,<20,<20,<20,<20,<20,<20,<20,21,<20,<20,<20,<20,<20,<20,<20,<20,37,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
803,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
804,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
810,36,90,"1,758",47,421,<20,148,212,<20,954,"1,892","1,673","1,350",177,686,83,324,<20,"3,362",<20,<20,<20,<20,<20,<20,94,85,,,,,,,,
811,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
812,<20,115,931,26,337,20,121,90,<20,555,"1,354","1,229",935,100,388,68,286,<20,"2,008",<20,<20,<20,<20,<20,<20,84,59,,,,,,,,
813,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
814,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
815,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
820,<20,41,653,<20,134,<20,44,109,<20,497,675,619,588,58,333,39,98,<20,"1,367",<20,<20,<20,<20,<20,<20,61,37,,,,,,,,
821,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
822,121,988,588,<20,348,<20,247,20,<20,"1,797","3,419","3,133","5,645",53,"3,163",926,592,<20,"3,612",<20,<20,<20,<20,22,<20,631,<20,,,,,,,,
828,<20,<20,35,<20,<20,<20,<20,<20,<20,103,82,77,121,<20,76,<20,22,<20,180,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
829,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
830,24,112,659,<20,349,20,139,49,<20,707,"1,609","1,487","1,061",55,502,74,405,<20,"2,057",<20,<20,<20,<20,<20,<20,128,27,,,,,,,,
831,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
832,<20,24,223,<20,125,23,24,27,<20,118,786,740,310,<20,98,<20,160,<20,557,<20,<20,<20,<20,<20,<20,24,<20,,,,,,,,
834,<20,<20,62,<20,24,<20,<20,<20,<20,42,67,62,48,<20,<20,<20,<20,<20,130,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
835,<20,<20,198,<20,58,<20,<20,35,<20,76,129,116,108,<20,58,<20,24,<20,329,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
836,<20,22,307,<20,101,<20,32,34,<20,174,384,370,251,<20,123,<20,68,<20,623,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
837,<20,<20,41,<20,<20,<20,<20,<20,<20,31,37,35,39,<20,20,<20,<20,<20,89,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
838,<20,<20,36,<20,<20,<20,<20,<20,<20,45,52,51,46,<20,31,<20,<20,<20,109,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
839,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,22,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
840,<20,<20,52,<20,<20,<20,<20,<20,<20,46,<20,<20,<20,<20,24,<20,<20,<20,125,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
841,<20,<20,46,<20,<20,<20,<20,<20,<20,46,65,57,54,<20,34,<20,<20,<20,116,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
845,<20,<20,52,<20,<20,<20,<20,<20,<20,62,82,73,70,<20,49,<20,35,<20,172,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
