Date of extract,Location,Region,Role,Role status,Statistical local areas,Address street number and name,Address suburb,Address state,Address postcode,Postal box — postal street number and name,Postal suburb,Postal state,Postal postcode,Latitude,Longitude
6092013,Roma,South West,Local Area Coordinator,Occupied,"Roma, Bungil, Bendemere, Waroo, Booringa",106 McDowall St,Roma,QLD,4455,PO Box 362,Roma,QLD,4455,-26.57187217,148.7878924
6092013,St George,South West,Local Area Coordinator,Occupied,Balonne,80/90 St Georges Terrace ,St George,QLD,4487,PO Box 505,St George,QLD,4487,-28.03527901,148.5792503
6092013,Cunnamulla,South West,Local Area Coordinator,Occupied,"Paroo, Bulloo",Cnr Stockyard and Louise Streets,Cunnamulla,QLD,4490,PO Box 10,Cunnamulla,QLD,4490,-28.0713589,145.6846654
6092013,Charleville,South West,Local Area Coordinator,Occupied,"Murweh, Tambo, Quilpie",81 Galatea St,Charleville,QLD,4470,PO Box 303,Charleville,QLD,4470,-26.40106955,146.2417749
6092013,Chinchilla,South West,Local Area Coordinator,Occupied,"Murilla, Taroom, Wandoan, Chinchilla, Tara, Dalby, Miles, Bell",50 Middle St,Chinchilla,QLD,4413,PO Box 487,Chinchilla,QLD,4413,-26.742326,150.6245049
6092013,Warwick,South West,Local Area Coordinator,Occupied,"Stanthorpe, Warwick",69 Guy Street,Warwick,QLD,4370,PO Box 195,Warwick,QLD,4370,-28.21933878,152.0291709
6092013,Dalby,South West,Local Area Coordinator,Occupied,"Dalby, Wambo","Shop 14-15, 119 Cunningham St",Dalby,QLD,4405,PO Box 504,Dalby,QLD,4405,-27.18262953,151.265307
6092013,Goondiwindi,South West,Local Area Coordinator,Occupied,"Goondiwindi, Texas, Inglewood",4/139 Marshall St,Goondiwindi,QLD,4390,PO Box 1323,Goondiwindi,QLD,4390,-28.54686375,150.3085671
6092013,Lockyer Valley,South West,Local Area Coordinator,Occupied,"Withcott, Grantham, Murphy’s creek, Helidon, Laidley, Gatton, Plainlands, Hatton Vale","Twmba Service Centre, Level 1, 162 Hume St",Toowoomba,QLD,4350,PO Box 1058,Toowoomba,QLD,4350,-27.563389,151.9581265
6092013,Maroochydore (previously Pomona),North Coast,Local Area Coordinator,Vacant,Sunshine Coast – Caloundra,"Level 2, 12 First Avenue",Maroochydore,QLD,4558,PO Box 1177,Maroochydore,QLD,4558,-26.6551131,153.0929347
