LGA,LGA name,ABSTUDY_Living_allowance,ABSTUDY_Non_living_allowance,Age_Pension,Austudy,Carer_Allowance,Carer_Allowance_Child_Health_Care_Card_only,Carer_Payment,Commonwealth_Seniors_Health_Card,Double_Orphan_Pension,Disability_Support_Pension,Family_Tax_Benefit_Part_A,Family_Tax_Benefit_Part_B,Health_Care_Card,Low_Income_Card,Newstart_Allowance,Parenting_Payment_Partnered,Parenting_Payment_Single,Partner_Allowance,Pensioner_Concession_Card,Sickness_Allowance,Special_Benefit,Wife_Pension_Partner_on_Age_Pension,Wife_Pension_Partner_on_Disability_Support_Pension,Widow_Allowance,Widow_B_Pension,Youth_Allowance_other,Youth_Allowance_student_and_apprentice
10050,Albury (C),22,86,"5,940",102,"1,334",45,466,624,<20,"2,287","3,865","3,183","3,748",801,"1,897",220,780,<20,"10,191",25,<20,<20,<20,48,<20,438,723
10110,Armidale Dumaresq (A),94,125,"2,354",113,536,24,247,464,<20,"1,072","1,783","1,456","2,426",999,827,123,388,<20,"4,381",<20,<20,<20,<20,<20,<20,233,"1,350"
10150,Ashfield (A),<20,<20,"4,179",163,782,<20,269,571,<20,"1,011","1,945","1,705","1,918",503,"1,005",126,178,<20,"6,124",<20,38,<20,<20,49,<20,61,487
10200,Auburn (C),<20,<20,"5,375",276,"2,573",84,"1,683",431,<20,"2,460","7,053","6,213","7,766","1,693","3,312","1,232",667,36,"11,572",27,131,59,32,137,<20,281,"1,611"
10250,Ballina (A),21,63,"6,277",134,"1,287",60,565,847,<20,"2,112","3,319","2,668","3,007",465,"1,582",198,541,21,"10,194",<20,<20,<20,20,48,<20,292,264
10300,Balranald (A),<20,<20,246,<20,73,<20,31,25,<20,102,188,138,124,<20,60,<20,32,<20,440,<20,<20,<20,<20,<20,<20,<20,<20
10350,Bankstown (C),32,55,"20,560",425,"8,812",386,"5,377","1,473",<20,"7,646","18,000","15,989","16,019","3,377","7,322","2,468","2,465",115,"39,721",50,128,166,93,377,<20,665,"3,459"
10470,Bathurst Regional (A),41,90,"4,252",101,"1,002",58,386,517,<20,"1,682","2,950","2,534","2,793",814,"1,145",180,671,<20,"7,451",<20,<20,<20,<20,28,<20,250,"1,041"
10550,Bega Valley (A),<20,63,"5,659",38,949,21,393,654,<20,"2,010","2,567","2,014","2,113",311,"1,243",188,409,26,"9,044",<20,<20,<20,<20,53,<20,209,134
10600,Bellingen (A),<20,<20,"2,002",54,384,<20,184,234,<20,739,"1,243","1,030","1,084",166,654,120,212,<20,"3,457",<20,<20,<20,<20,21,<20,92,61
10650,Berrigan (A),<20,<20,"1,608",<20,267,<20,103,226,<20,380,632,486,504,103,241,32,121,<20,"2,326",<20,<20,<20,<20,<20,<20,41,30
10750,Blacktown (C),132,474,"24,236",590,"10,144",753,"5,118","1,308",22,"11,395","29,470","25,766","22,812","3,836","10,663","2,049","5,216",118,"51,121",94,223,143,124,483,<20,"1,679","3,507"
10800,Bland (A),<20,<20,795,<20,139,<20,66,167,<20,269,421,355,296,54,147,22,73,<20,"1,257",<20,<20,<20,<20,<20,<20,<20,<20
10850,Blayney (A),<20,<20,839,<20,217,<20,84,138,<20,289,543,457,389,38,213,24,111,<20,"1,411",<20,<20,<20,<20,<20,<20,31,24
10900,Blue Mountains (C),28,43,"9,364",252,"1,770",105,612,"1,119",<20,"2,692","4,850","4,373","4,367",858,"2,186",268,771,<20,"14,367",<20,<20,<20,22,105,<20,317,654
10950,Bogan (A),<20,<20,353,<20,57,<20,<20,64,<20,106,248,211,200,25,104,<20,65,<20,579,<20,<20,<20,<20,<20,<20,<20,<20
11000,Bombala (A),<20,<20,363,<20,66,<20,24,48,<20,141,170,128,139,20,66,<20,20,<20,576,<20,<20,<20,<20,<20,<20,<20,<20
11050,Boorowa (A),<20,<20,355,<20,76,<20,31,53,<20,140,202,175,153,29,69,<20,40,<20,606,<20,<20,<20,<20,<20,<20,<20,<20
11100,Botany Bay (C),23,20,"4,621",68,"1,114",37,458,385,<20,"1,372","2,519","2,132","2,119",395,"1,103",162,304,<20,"7,243",<20,<20,22,<20,57,<20,104,398
11150,Bourke (A),<20,61,219,<20,67,<20,45,23,<20,164,306,266,343,<20,195,<20,111,<20,582,<20,<20,<20,<20,<20,<20,81,<20
11200,Brewarrina (A),<20,47,113,<20,50,<20,32,<20,<20,166,192,178,243,<20,155,<20,84,<20,425,<20,<20,<20,<20,<20,<20,46,<20
11250,Broken Hill (C),<20,100,"2,971",<20,752,27,318,111,<20,"1,510","1,512","1,403","1,445",94,989,96,478,<20,"5,668",<20,<20,28,38,20,<20,215,45
11300,Burwood (A),<20,<20,"3,384",133,704,<20,275,518,<20,778,"1,800","1,540","1,792",453,847,130,140,<20,"4,961",<20,54,<20,<20,44,<20,48,438
11350,Byron (A),<20,<20,"2,896",243,647,<20,317,467,<20,"1,993","3,018","2,505","3,375",493,"2,274",282,460,<20,"6,602",32,<20,<20,<20,97,<20,217,252
11400,Cabonne (A),<20,<20,"1,592",<20,348,<20,120,258,<20,490,868,686,640,95,318,51,129,<20,"2,461",<20,<20,<20,<20,<20,<20,59,43
11450,Camden (A),<20,40,"4,848",79,"1,886",184,541,457,<20,"1,252","4,246","3,706","2,963",442,983,144,636,<20,"7,738",<20,<20,<20,<20,55,<20,191,456
11500,Campbelltown (C),65,238,"12,408",346,"6,279",351,"3,012",587,<20,"6,653","15,258","13,405","12,503","1,942","5,790","1,071","3,175",52,"28,046",55,56,73,54,259,<20,"1,039","1,745"
11520,Canada Bay (A),<20,<20,"7,004",136,"1,440",39,404,"1,541",<20,"1,210","2,890","2,524","2,394",557,"1,023",127,268,<20,"9,353",<20,30,20,<20,79,<20,73,568
11550,Canterbury (C),27,<20,"15,936",416,"5,265",180,"2,743","1,311",<20,"5,179","12,858","11,263","12,092","2,357","5,618","1,812","1,359",99,"28,036",53,217,132,52,344,<20,380,"2,101"
11600,Carrathool (A),<20,<20,272,<20,57,<20,24,59,<20,79,212,163,141,<20,66,<20,31,<20,419,<20,<20,<20,<20,<20,<20,<20,<20
11700,Central Darling (A),<20,32,169,<20,52,<20,33,<20,<20,153,168,157,232,<20,162,<20,62,<20,456,<20,<20,<20,<20,<20,<20,43,<20
11720,Cessnock (C),27,91,"6,292",52,"2,253",69,"1,061",316,<20,"3,497","4,541","4,224","3,946",398,"2,231",306,"1,215",38,"13,001",21,<20,31,59,72,<20,556,222
11730,Clarence Valley (A),48,166,"8,955",66,"2,448",56,"1,231",768,<20,"3,926","4,649","3,840","4,302",528,"2,699",352,975,39,"16,387",29,<20,42,54,90,<20,568,184
11750,Cobar (A),<20,24,447,<20,79,<20,37,50,<20,176,278,313,222,<20,115,<20,82,<20,763,<20,<20,<20,<20,<20,<20,24,<20
11800,Coffs Harbour (C),52,137,"10,150",174,"2,498",75,"1,153",835,<20,"4,099","6,565","5,363","5,571",820,"3,345",474,"1,278",45,"18,521",32,<20,43,47,108,<20,638,533
11860,Conargo (A),<20,<20,71,<20,<20,<20,<20,<20,<20,26,65,45,43,<20,<20,<20,<20,<20,112,<20,<20,<20,<20,<20,<20,<20,<20
12000,Coolamon (A),<20,<20,660,<20,143,<20,49,113,<20,197,320,238,222,31,110,<20,55,<20,"1,007",<20,<20,<20,<20,<20,<20,<20,<20
12050,Cooma-Monaro (A),<20,<20,"1,335",<20,242,<20,80,220,<20,477,681,554,591,80,270,65,91,<20,"2,085",<20,<20,<20,<20,<20,<20,63,39
12150,Coonamble (A),<20,88,475,<20,171,<20,119,66,<20,279,399,341,379,29,217,<20,139,<20,"1,075",<20,<20,<20,<20,<20,<20,58,<20
12200,Cootamundra (A),<20,<20,"1,425",<20,305,<20,135,153,<20,490,551,449,395,53,207,27,106,<20,"2,239",<20,<20,<20,<20,<20,<20,29,<20
12300,Corowa Shire (A),<20,<20,"2,212",<20,364,<20,132,207,<20,427,840,657,603,114,328,39,155,<20,"3,085",<20,<20,<20,<20,20,<20,57,38
12350,Cowra (A),<20,53,"2,186",<20,527,<20,224,263,<20,864,"1,091",870,999,110,546,82,235,<20,"3,705",<20,<20,<20,<20,<20,<20,116,56
12500,Deniliquin (A),<20,<20,"1,097",<20,271,<20,91,124,<20,421,569,466,455,80,241,25,128,<20,"1,837",<20,<20,<20,<20,<20,<20,60,34
12600,Dubbo (C),93,260,"4,224",34,"1,043",35,417,467,<20,"1,735","3,467","2,905","2,484",301,"1,237",174,881,<20,"7,771",<20,<20,<20,<20,30,<20,296,179
12700,Dungog (A),<20,<20,"1,085",<20,295,<20,127,188,<20,418,590,522,507,108,250,23,89,<20,"1,832",<20,<20,<20,<20,<20,<20,43,69
12750,Eurobodalla (A),23,89,"7,421",50,"1,417",<20,639,850,<20,"2,547","2,922","2,367","2,528",337,"1,555",229,558,27,"11,948",<20,<20,23,39,80,<20,314,115
12850,Fairfield (C),20,52,"20,543",428,"11,795",431,"8,283",888,<20,"9,471","20,337","18,237","19,492","4,875","11,255","2,350","3,227",203,"47,564",60,175,115,76,619,<20,990,"4,691"
12900,Forbes (A),<20,57,"1,388",<20,281,<20,115,189,<20,522,839,675,664,82,346,64,165,<20,"2,326",<20,<20,<20,<20,<20,<20,64,32
12950,Gilgandra (A),<20,49,655,<20,135,<20,62,76,<20,227,404,336,356,31,202,23,103,<20,"1,113",<20,<20,<20,<20,<20,<20,39,<20
13010,Glen Innes Severn (A),<20,<20,"1,530",<20,308,<20,152,200,<20,695,768,608,757,84,456,75,159,<20,"2,705",<20,<20,<20,<20,<20,<20,120,32
13050,Gloucester (A),<20,20,973,<20,164,<20,81,164,<20,277,363,304,343,53,202,26,50,<20,"1,465",<20,<20,<20,<20,<20,<20,39,<20
13100,Gosford (C),97,115,"24,225",377,"4,610",164,"1,598","2,548",<20,"6,708","11,751","10,153","9,583","1,635","5,292",567,"1,933",34,"36,826",50,<20,42,50,209,<20,816,"1,357"
13310,Goulburn Mulwaree (A),<20,<20,"3,842",55,842,23,318,404,<20,"1,408","2,170","1,813","1,772",231,"1,013",129,461,<20,"6,442",<20,<20,<20,<20,45,<20,198,165
13320,Great Lakes (A),<20,91,"8,639",45,"1,876",24,873,868,<20,"2,438","2,627","2,187","2,533",347,"1,687",184,547,40,"13,275",<20,<20,22,31,57,<20,282,99
13340,Greater Hume Shire (A),<20,<20,"1,267",<20,302,<20,129,209,<20,402,774,590,554,78,268,42,102,<20,"2,015",<20,<20,<20,<20,<20,<20,46,59
13380,Greater Taree (C),29,168,"9,010",38,"2,476",51,"1,214",663,<20,"3,738","4,397","3,662","4,200",490,"2,603",341,922,48,"16,033",<20,<20,32,49,78,<20,568,217
13450,Griffith (C),<20,49,"2,519",<20,702,25,278,444,<20,987,"2,100","1,623","1,475",131,686,131,344,<20,"4,391",<20,<20,<20,<20,<20,<20,167,73
13500,Gundagai (A),<20,<20,507,<20,121,<20,44,82,<20,140,293,231,211,21,107,23,37,<20,781,<20,<20,<20,<20,<20,<20,<20,<20
13550,Gunnedah (A),<20,69,"1,600",<20,301,<20,123,158,<20,545,974,877,867,87,515,51,240,<20,"2,690",<20,<20,<20,<20,<20,<20,133,<20
13650,Guyra (A),<20,41,582,<20,151,<20,71,80,<20,280,433,327,364,38,208,35,84,<20,"1,088",<20,<20,<20,<20,<20,<20,42,<20
13660,Gwydir (A),<20,<20,887,<20,201,<20,95,72,<20,321,397,337,304,54,150,21,69,<20,"1,441",<20,<20,<20,<20,<20,<20,21,<20
13700,Harden (A),<20,<20,652,<20,121,<20,54,45,<20,204,249,186,160,<20,98,<20,50,<20,"1,004",<20,<20,<20,<20,<20,<20,<20,<20
13800,Hawkesbury (C),22,50,"5,390",69,"1,561",82,537,750,<20,"1,838","4,603","3,974","3,187",515,"1,559",205,805,<20,"9,402",35,<20,<20,22,55,<20,248,487
13850,Hay (A),<20,<20,436,<20,67,<20,28,49,<20,138,226,180,144,<20,80,<20,47,<20,686,<20,<20,<20,<20,<20,<20,<20,<20
13950,Holroyd (C),<20,<20,"10,187",232,"3,606",141,"1,986",703,<20,"3,930","9,559","8,403","8,168","1,558","3,707","1,117","1,184",41,"18,978",32,108,74,46,200,<20,421,"1,464"
14000,Hornsby (A),<20,20,"13,198",334,"2,115",102,529,"3,617",<20,"2,469","6,753","6,052","5,592","1,558","1,948",313,458,<20,"17,570",26,113,<20,<20,138,<20,134,"1,426"
14100,Hunters Hill (A),<20,30,"1,107",<20,155,<20,49,378,<20,219,245,215,259,74,126,<20,33,<20,"1,476",<20,<20,<20,<20,<20,<20,<20,75
14150,Hurstville (C),<20,<20,"8,834",163,"1,964",65,758,"1,371",<20,"1,859","5,369","4,552","4,625","1,046","1,931",403,525,27,"12,927",23,102,23,<20,143,<20,133,899
14200,Inverell (A),<20,85,"2,474",<20,606,23,279,264,<20,"1,053","1,631","1,310","1,327",135,687,124,371,<20,"4,447",<20,<20,<20,<20,24,<20,185,50
14250,Jerilderie (A),<20,<20,198,<20,34,<20,<20,40,<20,48,99,72,84,<20,38,<20,<20,<20,279,<20,<20,<20,<20,<20,<20,<20,<20
14300,Junee (A),<20,<20,643,<20,201,<20,90,77,<20,309,406,324,314,43,148,23,87,<20,"1,185",<20,<20,<20,<20,<20,<20,27,22
14350,Kempsey (A),81,220,"4,697",34,"1,670",29,884,350,<20,"2,737","2,836","2,422","2,530",305,"1,478",183,734,34,"9,746",<20,<20,<20,33,48,<20,316,110
14400,Kiama (A),<20,<20,"2,991",30,438,<20,138,563,<20,502,"1,056",919,914,213,380,47,137,<20,"3,940",<20,<20,<20,<20,21,<20,61,156
