Payment_type,ACT_Under_16,ACT_16_24,ACT_24_and_under,ACT_25_34,ACT_35_44,ACT_45_54,ACT_55_64,ACT_65_and_over,ACT_Total,NSW_Under_16,NSW_16_24,NSW_24_and_under,NSW_25_34,NSW_35_44,NSW_45_54,NSW_55_64,NSW_65_and_over,NSW_Total,NT_Under_16,NT_16_24,NT_24_and_under,NT_25_34,NT_35_44,NT_45_54,NT_55_64,NT_65_and_over,NT_Total,QLD_Under_16,QLD_16_24,QLD_24_and_under,QLD_25_34,QLD_35_44,QLD_45_54,QLD_55_64,QLD_65_and_over,QLD_Total,SA_Under_16,SA_16_24,SA_24_and_under,SA_25_34,SA_35_44,SA_45_54,SA_55_64,SA_65_and_over,SA_Total,TAS_Under_16,TAS_16_24,TAS_24_and_under,TAS_25_34,TAS_35_44,TAS_45_54,TAS_55_64,TAS_65_and_over,TAS_Total,VIC_Under_16,VIC_16_24,VIC_24_and_under,VIC_25_34,VIC_35_44,VIC_45_54,VIC_55_64,VIC_65_and_over,VIC_Total,WA_Under_16,WA_16_24,WA_24_and_under,WA_25_34,WA_35_44,WA_45_54,WA_55_64,WA_65_and_over,WA_Total,Other_Under_16,Other_16_24,Other_24_and_under,Other_25_34,Other_35_44,Other_45_54,Other_55_64,Other_65_and_over,Other_Total,Australia_Under_16,Australia_16_24,Australia_24_and_under,Australia_25_34,Australia_35_44,Australia_45_54,Australia_55_64,Australia_65_and_over,Australia_Total,,,,,,,
ABSTUDY (Living allowance),<20,70,,<20,<20,<20,<20,<20,104,<20,"2,218",,446,193,157,47,<20,"3,078",<20,289,,29,25,22,<20,<20,387,58,"1,583",,350,198,131,n.p.,<20,"2,369",<20,455,,80,49,30,<20,<20,632,<20,161,,34,22,<20,<20,<20,236,<20,563,,124,55,27,<20,<20,790,<20,442,,103,64,37,<20,<20,669,<20,<20,,n.p.,n.p.,<20,<20,<20,<20,108,"5,782",,"1,183",614,424,n.p.,<20,"8,267",,,,,,,
ABSTUDY (Non-living allowance),99,25,,<20,<20,<20,<20,<20,161,"6,936",683,,319,290,171,46,20,"8,465","2,357",299,,75,74,77,<20,<20,"2,897","5,796",683,,283,244,153,n.p.,<20,"7,220",n.p.,104,,70,66,38,25,<20,"1,173",440,39,,<20,<20,<20,<20,<20,519,957,125,,68,59,35,<20,<20,"1,256","2,204",309,,66,82,50,<20,<20,"2,727",n.p.,<20,,n.p.,<20,<20,<20,<20,<20,"19,653","2,270",,908,846,535,159,52,"24,423",,,,,,,
Age Pension,n/a,n/a,,n/a,n/a,n/a,n/a,"23,006","23,006",n/a,n/a,,n/a,n/a,n/a,n/a,"769,674","769,674",n/a,n/a,,n/a,n/a,n/a,n/a,"8,317","8,317",n/a,n/a,,n/a,n/a,n/a,n/a,"440,376","440,376",n/a,n/a,,n/a,n/a,n/a,n/a,"204,880","204,880",n/a,n/a,,n/a,n/a,n/a,n/a,"66,076","66,076",n/a,n/a,,n/a,n/a,n/a,n/a,"588,032","588,032",n/a,n/a,,n/a,n/a,n/a,n/a,"203,051","203,051",n/a,n/a,,n/a,n/a,n/a,n/a,"82,315","82,315",n/a,n/a,,n/a,n/a,n/a,n/a,"2,385,727","2,385,727",,,,,,,
Austudy,<20,<20,,522,138,50,<20,<20,729,<20,<20,,"9,132","3,156","1,903",621,<20,"14,814",<20,<20,,107,37,20,<20,<20,167,<20,<20,,"6,032","2,378","1,331",322,<20,"10,066",<20,<20,,"2,322",858,443,114,<20,"3,737",<20,<20,,682,271,205,60,<20,"1,218",<20,<20,,"8,643","2,444","1,209",387,<20,"12,685",<20,<20,,"2,371",733,350,98,<20,"3,552",<20,<20,,24,<20,<20,<20,<20,34,<20,<20,,"29,835","10,019","5,517","1,624",<20,"47,002",,,,,,,
Carer Allowance,n.p,n.p,121,494,"1,289","1,217",951,"1,352","5,424",n.p,n.p,"5,714","19,159","41,572","43,883","42,873","53,291","206,492",n.p,n.p,80,412,787,725,538,423,"2,965",n.p,n.p,"2,255","10,053","22,941","22,026","23,340","30,980","111,595",n.p,n.p,985,"4,217","9,211","9,595","9,262","13,584","46,854",n.p,n.p,370,"1,584","2,854","3,234","3,750","4,680","16,472",n.p,n.p,"3,101","12,348","32,061","33,200","31,249","45,143","157,102",n.p,n.p,702,"3,352","8,074","7,910","8,077","11,169","39,284",n.p,n.p,<20,33,60,78,93,69,345,n.p,n.p,"13,340","51,652","118,849","121,868","120,134","160,695","586,538",,,,,,,
Carer Allowance (child hcc only),n.p,n.p,<20,43,121,61,<20,<20,237,n.p,n.p,164,"1,959","4,192","1,689",185,54,"8,243",n.p,n.p,<20,58,48,26,<20,<20,139,n.p,n.p,90,908,"1,783",696,70,27,"3,574",n.p,n.p,n.p.,529,"1,067",460,40,<20,"2,150",n.p,n.p,<20,132,159,79,<20,<20,398,n.p,n.p,94,"1,180","2,958","1,375",119,20,"5,746",n.p,n.p,n.p.,437,850,345,n.p.,<20,"1,695",n.p,n.p,<20,<20,<20,<20,<20,<20,<20,n.p,n.p,442,"5,250","11,184","4,733",452,134,"22,195",,,,,,,
Carer Payment,n.p,n.p,68,130,245,298,350,192,"1,283",n.p,n.p,"4,573","9,983","17,397","23,326","26,456","11,128","92,863",n.p,n.p,74,213,348,338,341,87,"1,401",n.p,n.p,"1,673","4,069","7,867","10,448","13,634","6,518","44,209",n.p,n.p,680,"1,785","3,202","4,451","4,965","2,635","17,718",n.p,n.p,370,"1,584","2,854","3,234","3,751","4,684","16,477",n.p,n.p,"2,230","5,494","10,982","14,751","17,860","9,187","60,504",n.p,n.p,500,"1,156","2,307","3,259","4,218","1,974","13,414",n.p,n.p,<20,<20,32,56,80,35,228,n.p,n.p,"10,090","23,644","43,739","58,740","70,241","33,275","239,729",,,,,,,
Commonwealth Seniors Health Card,n/a,n/a,,n/a,n/a,n/a,<20,"5,278","5,278",n/a,n/a,,n/a,n/a,n/a,n/a,"98,831","98,831",n/a,n/a,,n/a,n/a,n/a,n/a,806,806,n/a,n/a,,n/a,n/a,n/a,n/a,"51,566","51,566",n/a,n/a,,n/a,n/a,n/a,n/a,"19,311","19,311",n/a,n/a,,n/a,n/a,n/a,n/a,"5,578","5,578",n/a,n/a,,n/a,n/a,n/a,n/a,"74,123","74,123",n/a,n/a,,n/a,n/a,n/a,n/a,"28,680","28,680",n/a,n/a,,n/a,n/a,n/a,n/a,389,389,n/a,n/a,,n/a,n/a,n/a,n/a,"284,562","284,562",,,,,,,
Double Orphan Pension,<20,<20,,<20,<20,<20,<20,<20,<20,<20,n.p.,,52,49,49,71,54,300,<20,<20,,<20,<20,<20,<20,<20,<20,<20,<20,,31,41,68,56,44,250,<20,<20,,32,34,38,28,<20,157,<20,<20,283,798,"1,359","1,813","2,337","1,519","8,109",<20,<20,,74,88,99,81,36,387,<20,<20,,34,35,41,35,23,174,,<20,,<20,<20,<20,<20,<20,<20,<20,n.p.,,234,263,310,290,183,"1,340",,,,,,,
Disability Support Pension,n/a,761,,"1,181","1,639","2,143","2,719",344,"8,787",n/a,"17,865",,"25,927","40,674","68,794","106,658","11,115","271,033",n/a,671,,"1,308","1,999","2,583","2,831",148,"9,540",n/a,"12,254",,"17,419","26,216","41,314","62,550","6,403","166,156",n/a,"4,140",,"7,348","11,499","20,140","28,568","3,011","74,706",n/a,"1,752",,"2,713","4,338","7,243","11,066","1,270","28,382",n/a,"14,169",,"21,353","32,917","50,835","76,377","7,821","203,472",n/a,"4,224",,"6,453","9,584","15,422","24,352","2,735","62,770",n/a,61,,200,475,"1,147","3,022","2,782","7,687",n/a,"55,897",,"83,902","129,341","209,621","318,143","35,629","832,533",,,,,,,
