Payment_type,ACT_Male,ACT_Female,ACT_Total,NSW_Male,NSW_Female,NSW_Total,NT_Male,NT_Female,NT_Total,QLD_Male,QLD_Female,QLD_Total,SA_Male,SA_Female,SA_Total,TAS_Male,TAS_Female,TAS_Total,VIC_Male,VIC_Female,VIC_Total,WA_Male,WA_Female,WA_Total,Other_Male,Other_Female,Other_Total,Australia_Male,Australia_Female,Australia_Total,,,,,,,,,,,
ABSTUDY (Living allowance),43,61,104,"1,291","1,787","3,078",173,214,387,938,"1,431","2,369",288,344,632,97,139,236,326,464,790,285,384,669,<20,<20,<20,"3,442","4,825","8,267",,,,,,,,,,,
ABSTUDY (Non-living allowance),77,84,161,"4,023","4,442","8,465","1,417","1,480","2,897","3,374","3,846","7,220",515,658,"1,173",257,262,519,543,713,"1,256","1,300","1,427","2,727",<20,<20,<20,"11,510","12,913","24,423",,,,,,,,,,,
Age Pension,"9,457","13,549","23,006","343,836","425,838","769,674","4,137","4,180","8,317","201,620","238,756","440,376","89,998","114,882","204,880","30,104","35,972","66,076","259,205","328,827","588,032","90,130","112,921","203,051","46,625","35,690","82,315","1,075,112","1,310,615","2,385,727",,,,,,,,,,,
Austudy,392,337,729,"7,057","7,757","14,814",64,103,167,"4,580","5,486","10,066","1,975","1,762","3,737",625,593,"1,218","6,167","6,518","12,685","1,722","1,830","3,552",n.p.,<20,34,"22,603","24,399","47,002",,,,,,,,,,,
Carer Allowance,"1,246","4,178","5,424","56,215","150,277","206,492",645,"2,320","2,965","28,318","83,277","111,595","13,384","33,470","46,854","5,037","11,440","16,477","41,879","115,223","157,102","9,173","30,111","39,284",101,244,345,"155,998","430,540","586,538",,,,,,,,,,,
Carer Allowance (child hcc only),<20,n.p.,237,592,"7,651","8,243",<20,n.p.,139,229,"3,345","3,574",147,"2,003","2,150",29,369,398,376,"5,370","5,746",87,"1,608","1,695",<20,<20,<20,"1,487","20,708","22,195",,,,,,,,,,,
Carer Payment,416,867,"1,283","29,130","63,733","92,863",369,"1,032","1,401","13,247","30,962","44,209","5,946","11,772","17,718","2,739","5,370","8,109","18,107","42,397","60,504","3,864","9,550","13,414",88,140,228,"73,906","165,823","239,729",,,,,,,,,,,
Commonwealth Seniors Health Card,"2,471","2,807","5,278","48,226","50,605","98,831",431,375,806,"25,810","25,756","51,566","9,637","9,674","19,311","2,871","2,707","5,578","36,310","37,813","74,123","14,239","14,441","28,680",195,194,389,"140,190","144,372","284,562",,,,,,,,,,,
Double Orphan Pension,<20,<20,<20,59,241,300,<20,<20,<20,42,208,250,29,128,157,<20,n.p.,45,61,326,387,41,132,174,<20,<20,<20,241,"1,098","1,340",,,,,,,,,,,
Disability Support Pension,"4,438","4,349","8,787","145,235","125,798","271,033","5,301","4,239","9,540","89,916","76,240","166,156","39,876","34,830","74,706","15,164","13,218","28,382","104,255","99,217","203,472","32,975","29,795","62,770","4,837","2,850","7,687","441,997","390,536","832,533",,,,,,,,,,,
Family Tax Benefit A,n/a,n/a,"16,235",n/a,n/a,"487,548",n/a,n/a,"18,011",n/a,n/a,"331,651",n/a,n/a,"119,654",n/a,n/a,"41,899",n/a,n/a,"384,513",n/a,n/a,"136,643",n/a,n/a,<20,n/a,n/a,"1,537,515",,,,,,,,,,,
Family Tax Benefit B,n/a,n/a,"15,205",n/a,n/a,"422,684",n/a,n/a,"16,477",n/a,n/a,"287,876",n/a,n/a,"99,791",n/a,n/a,"34,670",n/a,n/a,"328,541",n/a,n/a,"128,338",n/a,n/a,<20,n/a,n/a,"1,334,362",,,,,,,,,,,
Health Care Card,"6,078","8,576","14,654","166,067","264,504","430,583","9,571","12,179","21,750","120,462","178,822","299,296","48,202","66,634","114,837","17,269","23,167","40,436","162,324","246,203","408,537","48,594","71,794","120,401",261,525,786,"578,828","872,404","1,451,280",,,,,,,,,,,
Low Income Card,"1,681","2,146","3,827","35,786","45,917","81,703",281,390,671,"22,421","30,321","52,743","10,195","12,686","22,881","4,032","4,704","8,736","57,836","67,430","125,267","9,490","12,420","21,910",91,126,217,"141,813","176,140","317,955",,,,,,,,,,,
