Postcode,ABSTUDY_Living_allowance,ABSTUDY_Non_living_allowance,Age_Pension,Austudy,Carer_Allowance,Carer_Allowance_Child_Health_Care_Card_only,Carer_Payment,Commonwealth_Seniors_Health_Card,Double_Orphan_Pension,Disability_Support_Pension,Family_Tax_Benefit_Part_A,Family_Tax_Benefit_Part_B,Health_Care_Card,Low_Income_Card,Newstart_Allowance,Parenting_Payment_Partnered,Parenting_Payment_Single,Partner_Allowance,Pensioner_Concession_Card,Sickness_Allowance,Special_Benefit,Wife_Pension_Partner_on_Age_Pension,Wife_Pension_Partner_on_Disability_Support_Pension,Widow_Allowance,Widow_B_Pension,Youth_Allowance_other,Youth_Allowance_student_and_apprentice,,,,,,,,
200,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,24,24,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,37,,,,,,,,
221,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
800,<20,<20,172,<20,20,<20,<20,33,<20,303,145,128,293,25,222,<20,22,<20,524,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
801,<20,<20,<20,<20,<20,<20,<20,<20,<20,21,<20,<20,20,<20,<20,<20,<20,<20,33,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
803,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
804,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
810,38,94,"1,754",60,425,<20,149,212,<20,947,"1,883","1,645","1,369",156,711,78,318,<20,"3,314",<20,<20,<20,<20,<20,<20,114,91,,,,,,,,
811,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
812,23,121,946,26,345,21,122,87,<20,540,"1,367","1,239",963,95,414,75,307,<20,"2,051",<20,<20,<20,<20,<20,<20,87,77,,,,,,,,
813,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
814,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
815,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,,,,,,,,
820,<20,45,669,<20,142,<20,46,111,<20,477,682,614,600,50,345,43,107,<20,"1,363",<20,<20,<20,<20,<20,<20,52,42,,,,,,,,
