State,Hospname,Establishment ID,Parent Id,Unit,Medicare Prov Number,Address Line 1,Address Line 2,Remoteness area (code),Remoteness area ,Number of available beds,2012-13 Peer Group code,2012-13 Peer Group Name,Admissions reported,Emergency department,Elective surgery reported,Outpatient clinics,2011-12 Peer Group code,2011-12 Peer Group Name
ACT,Canberra Hospital & Health Services,810000082, ,Hospital,0090030B,Yamba Dr,Garran 2605,0,Major Cities,741,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
ACT,Calvary Public Hospital,810000083, ,Hospital,0090040A,Haydon DR,Bruce 2617,0,Major Cities,235,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
ACT,QEII Family Centre,810000084, ,Hospital,0090020F,129 Carruthers ST,Curtin 2605,0,Major Cities,10,O1,Early parenting centres,No,No,No,No,E5,Mothercraft
NSW,Justice Health,1117C1010, ,Hospital,0012860K,Anzac PDE,Malabar 2036,0,Major Cities,345.9,Ps,Psychiatric public,Yes,No,No,No,C1,Medium (group 1)
NSW,Children's Hospital Westmead,1163A2070, ,Hospital,0010300T,178 Hawkesbury RD,Westmead 2145,0,Major Cities,280.8,W3,Childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens
NSW,Sydney Children's,1163C2380, ,Hospital,0010260H,1 High ST,Randwick 2031,0,Major Cities,148.5,W3,Childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens
NSW,Sacred Heart Hospice,1169A2090, ,Hospital,0010400K,170 Darlinghurst RD,Darlinghurst 2010,0,Major Cities,69.6,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other
NSW,St Vincent's Darlinghurst,1169A2120, ,Hospital,0010460Y,390 Victoria ST,Darlinghurst 2010,0,Major Cities,363.8,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,St Joseph's Auburn,1169D2130, ,Hospital,0010430F,19a Alice ST,Auburn 2144,0,Major Cities,71.5,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute
NSW,Balmain,1170A2010, ,Hospital,0010030Y,29 Booth ST,Balmain 2041,0,Major Cities,74.2,S2,Other small public acute,Yes,No,No,No,E9,Other non-acute
NSW,Canterbury,1170A2020, ,Hospital,0010090J,575 Canterbury RD,Campsie 2194,0,Major Cities,172.4,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Royal Prince Alfred,1170A2080, ,Hospital,0010320k,50 Missenden RD,Camperdown 2050,0,Major Cities,753.2,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Tresillian Care Centres,1170A2340, ,Hospital,0010350F,571 Canterbury RD,Campsie 2194,0,Major Cities,33.2,O1,Early parenting centres,Yes,No,No,No,E5,Mothercraft
NSW,Concord,1170A2370, ,Hospital,0012720A,1a Hospital RD,Concord West 2138,0,Major Cities,663.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,RPAH Institute of Rheumatology & Orthopaedics,1170A2390, ,Hospital, ,57-59 Missenden RD,Camperdown 2050,0,Major Cities,24.6,O3,Other public acute specialised,Yes,No,Yes,No,C2,Medium (group 2)
NSW,Karitane Mothercraft Society,1171C2030, ,Hospital,0010150L,53-65 Mitchell ST,Carramar 2163,0,Major Cities,18.5,O1,Early parenting centres,Yes,No,No,No,E5,Mothercraft
NSW,Camden,1171D2050, ,Hospital,0010870B,65 Menangle RD,Camden 2570,0,Major Cities,56.7,S2,Other small public acute,Yes,Yes,No,No,D2,Small non-acute
NSW,Fairfield,1171D2060, ,Hospital,0010110Y,360 Prairie Vale RD,Prairiewood 2176,0,Major Cities,208,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities
NSW,Liverpool,1171D2090, ,Hospital,0010200X,Lot 2 Elizabeth ST,Liverpool 2170,0,Major Cities,738.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Campbelltown,1171D2150, ,Hospital,0012750W,1 Therry RD,Campbelltown 2560,0,Major Cities,334.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Bankstown/ Lidcombe,1171D2270, ,Hospital,0010040X,68 Eldridge RD,Bankstown 2200,0,Major Cities,392.5,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral
NSW,Braeside,1171D2280, ,Hospital,0012830W,340 Prairie Vale RD,Prairiewood 2176,0,Major Cities,72,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute
NSW,Bowral,1171N2190, ,Hospital,0010690H,Lot 3 Mona RD,Bowral 2576,1,Inner Regional,70.8,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1)
NSW,Sydney/ Sydney Eye,1172A2330, ,Hospital,0010500H,8 Macquarie ST,Sydney 2000,0,Major Cities,66.8,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1)
NSW,Sydney Dental,1172C1530, ,Hospital, ,2 Chalmers ST,Surry Hills 2010,0,Major Cities,0,O5,Unpeered,No,No,No,No,G,Un-peered and other
NSW,Calvary,1172C2020, ,Hospital,0012520J,91-101 Rocky Point RD,Kogarah 2217,0,Major Cities,106.3,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,G,Un-peered and other
