LGA,LGA name,ABSTUDY_Living_allowance,ABSTUDY_Non_living_allowance,Age_Pension,Austudy,Carer_Allowance,Carer_Allowance_Child_Health_Care_Card_only,Carer_Payment,Commonwealth_Seniors_Health_Card,Double_Orphan_Pension,Disability_Support_Pension,Family_Tax_Benefit_Part_A,Family_Tax_Benefit_Part_B,Health_Care_Card,Low_Income_Card,Newstart_Allowance,Parenting_Payment_Partnered,Parenting_Payment_Single,Partner_Allowance,Pensioner_Concession_Card,Sickness_Allowance,Special_Benefit,Wife_Pension_Partner_on_Age_Pension,Wife_Pension_Partner_on_Disability_Support_Pension,Widow_Allowance,Widow_B_Pension,Youth_Allowance_other,Youth_Allowance_student_and_apprentice
10050,Albury (C),22,65,"5,832",101,"1,286",38,430,608,<20,"2,241","3,802","3,156","3,730",895,"1,834",224,740,23,"9,955",21,<20,<20,<20,47,<20,375,876
10110,Armidale Dumaresq (A),91,103,"2,333",120,533,21,248,461,<20,"1,049","1,846","1,522","2,595","1,218",814,121,379,<20,"4,317",<20,<20,<20,<20,<20,<20,229,"1,537"
10150,Ashfield (A),<20,<20,"4,171",161,757,<20,249,563,<20,"1,015","1,982","1,750","1,967",540,976,134,186,<20,"6,061",<20,42,<20,<20,52,<20,53,520
10200,Auburn (C),<20,<20,"5,384",267,"2,532",92,"1,644",405,<20,"2,491","7,147","6,364","8,021","1,853","3,235","1,304",671,41,"11,395",23,129,65,35,131,<20,299,"1,817"
10250,Ballina (A),29,55,"6,188",128,"1,265",58,542,855,<20,"2,085","3,297","2,659","3,091",541,"1,535",206,504,24,"9,934",<20,<20,<20,21,52,<20,266,291
10300,Balranald (A),<20,<20,254,<20,78,<20,35,28,<20,106,199,146,125,22,49,<20,35,<20,451,<20,<20,<20,<20,<20,<20,<20,<20
10350,Bankstown (C),39,56,"20,449",435,"8,458",409,"5,067","1,464",<20,"7,557","18,020","16,066","16,365","3,570","7,142","2,509","2,433",123,"38,905",50,137,169,102,382,<20,647,"3,683"
10470,Bathurst Regional (A),52,81,"4,197",110,978,57,365,521,<20,"1,669","2,914","2,508","2,894","1,032","1,048",181,650,<20,"7,315",<20,<20,<20,<20,25,<20,242,"1,274"
10550,Bega Valley (A),<20,60,"5,577",51,910,21,377,649,<20,"1,969","2,583","2,028","2,190",352,"1,241",188,398,27,"8,865",<20,<20,<20,<20,56,<20,210,155
10600,Bellingen (A),<20,<20,"1,995",55,374,<20,176,240,<20,723,"1,253","1,040","1,131",192,616,122,195,<20,"3,392",<20,<20,<20,<20,22,<20,84,88
10650,Berrigan (A),<20,<20,"1,589",<20,256,<20,96,226,<20,371,637,498,504,90,272,30,114,<20,"2,283",<20,<20,<20,<20,<20,<20,38,33
10750,Blacktown (C),139,453,"23,757",617,"9,868",762,"4,873","1,316",26,"11,263","29,254","25,915","23,102","4,153","10,407","2,077","5,120",126,"50,104",94,224,147,133,501,<20,"1,638","3,801"
10800,Bland (A),<20,<20,788,<20,140,<20,60,166,<20,265,437,359,273,43,123,26,68,<20,"1,236",<20,<20,<20,<20,<20,<20,<20,22
10850,Blayney (A),<20,<20,823,<20,211,<20,76,139,<20,289,535,454,377,39,212,22,99,<20,"1,389",<20,<20,<20,<20,<20,<20,30,20
