Payment_type,ACT_Male,ACT_Female,ACT_Total,NSW_Male,NSW_Female,NSW_Total,NT_Male,NT_Female,NT_Total,QLD_Male,QLD_Female,QLD_Total,SA_Male,SA_Female,SA_Total,TAS_Male,TAS_Female,TAS_Total,VIC_Male,VIC_Female,VIC_Total,WA_Male,WA_Female,WA_Total,Other_Male,Other_Female,Other_Total,Australia_Male,Australia_Female,Australia_Total,,,,,,,,,,,
ABSTUDY (Living allowance),56,41,97,"1,593","2,046","3,639",226,274,500,"1,056","1,445","2,501",337,386,723,142,158,300,358,512,870,329,440,769,<20,<20,<20,"4,099","5,306","9,405",,,,,,,,,,,
ABSTUDY (Non-living allowance),64,95,159,"3,737","4,161","7,898","1,829","1,864","3,693","3,096","3,473","6,569",478,689,"1,167",228,261,489,541,674,"1,215","1,247","1,307","2,554",<20,<20,<20,"11,221","12,524","23,745",,,,,,,,,,,
Age Pension,"9,227","13,417","22,644","337,038","424,193","761,231","4,143","4,186","8,329","196,998","237,176","434,174","88,417","114,759","203,176","29,557","35,807","65,364","254,648","327,684","582,332","88,002","112,135","200,137","46,344","35,484","81,828","1,054,374","1,304,841","2,359,215",,,,,,,,,,,
Austudy,396,303,699,"7,319","8,103","15,422",76,92,168,"4,582","5,390","9,972","2,045","1,825","3,870",656,619,"1,275","6,409","6,955","13,364","1,793","1,926","3,719",n.p.,<20,44,"23,303","25,230","48,533",,,,,,,,,,,
Carer Allowance,"1,202","4,034","5,236","54,865","147,620","202,486",599,"2,335","2,934","27,218","80,941","108,160","12,978","32,790","45,768","4,880","11,185","16,066","40,524","111,970","152,495","8,889","29,259","38,148",131,306,437,"151,286","420,440","571,730",,,,,,,,,,,
Carer Allowance (child hcc only),<20,n.p.,225,611,"7,955","8,566",<20,n.p.,135,244,"3,317","3,561",150,"2,116","2,266",30,405,435,391,"5,596","5,987",94,"1,675","1,769",<20,<20,<20,"1,547","21,404","22,951",,,,,,,,,,,
Carer Payment,408,813,"1,221","28,107","61,364","89,473",323,"1,004","1,327","12,512","29,500","42,012","5,688","11,293","16,981","2,666","5,186","7,852","17,241","40,394","57,637","3,702","9,080","12,782",56,152,208,"70,703","158,786","229,493",,,,,,,,,,,
Commonwealth Seniors Health Card,"2,395","2,779","5,174","47,380","50,180","97,560",431,386,817,"25,457","25,580","51,037","9,462","9,561","19,023","2,835","2,669","5,504","35,633","37,317","72,950","14,084","14,358","28,442",198,211,409,"137,875","143,041","280,916",,,,,,,,,,,
Double Orphan Pension,<20,<20,<20,66,251,317,<20,<20,<20,42,205,247,31,122,153,<20,n.p.,43,62,324,386,39,126,166,<20,<20,<20,250,"1,088","1,339",,,,,,,,,,,
Disability Support Pension,"4,358","4,205","8,563","144,437","123,776","268,213","5,442","4,317","9,759","89,260","74,634","163,894","40,120","34,646","74,766","15,001","12,992","27,993","103,755","97,626","201,381","33,163","29,601","62,764","5,020","2,885","7,905","440,556","384,682","825,238",,,,,,,,,,,
Family Tax Benefit A,n/a,n/a,"16,071",n/a,n/a,"488,128",n/a,n/a,"18,004",n/a,n/a,"330,779",n/a,n/a,"120,030",n/a,n/a,"42,128",n/a,n/a,"382,806",n/a,n/a,"136,212",339,"1,184","1,523",n/a,n/a,"1,535,681",,,,,,,,,,,
Family Tax Benefit B,n/a,n/a,"15,262",n/a,n/a,"426,068",n/a,n/a,"16,559",n/a,n/a,"289,372",n/a,n/a,"100,783",n/a,n/a,"34,998",n/a,n/a,"329,458",n/a,n/a,"129,350",206,692,898,n/a,n/a,"1,342,748",,,,,,,,,,,
