Payment_type,ACT_Indigenous,ACT_Not_Identified_Indigenous,ACT_Total,NSW_Indigenous,NSW_Not_Identified_Indigenous,NSW_Total,NT_Indigenous,NT_Not_Identified_Indigenous,NT_Total,QLD_Indigenous,QLD_Not_Identified_Indigenous,QLD_Total,SA_Indigenous,SA_Not_Identified_Indigenous,SA_Total,TAS_Indigenous,TAS_Not_Identified_Indigenous,TAS_Total,VIC_Indigenous,VIC_Not_Identified_Indigenous,VIC_Total,WA_Indigenous,WA_Not_Identified_Indigenous,WA_Total,Other__Indigenous,Other__Not_Identified_Indigenous,Other__Total,Australia_Indigenous,Australia_Not_Identified_Indigenous,Australia_Total,
ABSTUDY (Living allowance),n/a,n/a,97,n/a,n/a,"3,639",n/a,n/a,500,n/a,n/a,"2,501",n/a,n/a,723,n/a,n/a,300,n/a,n/a,870,n/a,n/a,769,n/a,n/a,<20,n/a,n/a,"9,405",
ABSTUDY (Non-living allowance),n/a,n/a,159,n/a,n/a,"7,898",n/a,n/a,"3,693",n/a,n/a,"6,569",n/a,n/a,"1,167",n/a,n/a,489,n/a,n/a,"1,215",n/a,n/a,"2,554",n/a,n/a,<20,n/a,n/a,"23,745",
Age Pension,59,"22,585","22,644","4,563","756,668","761,231","1,767","6,562","8,329","4,044","430,130","434,174",813,"202,363","203,176",475,"64,889","65,364",958,"581,374","582,332","2,162","197,975","200,137",44,"81,784","81,828","14,885","2,344,330","2,359,215",
Austudy,<20,n.p.,699,77,"15,345","15,422",<20,n.p.,168,59,"9,913","9,972",<20,n.p.,"3,870",<20,n.p.,"1,275",<20,n.p.,"13,364",<20,n.p.,"3,719",<20,n.p.,44,188,"48,345","48,533",
Carer Allowance,108,"5,091","5,199","6,948","194,277","201,225","1,070","1,817","2,887","4,078","103,239","107,317",943,"44,588","45,531",725,"15,283","16,008","1,225","150,285","151,510","1,989","35,910","37,899",22,358,380,"17,108","550,848","567,956",
Carer Allowance (Child Health Care Card only),<20,n.p.,224,369,"8,123","8,492",37,94,131,163,"3,371","3,534",53,"2,204","2,257",31,403,434,69,"5,871","5,940",98,"1,663","1,761",<20,<20,<20,831,"21,953","22,784",
Carer Payment,53,"1,151","1,204","4,324","84,307","88,631",744,560,"1,304","2,538","39,084","41,622",581,"16,312","16,893",454,"7,361","7,815",692,"56,411","57,103","1,339","11,326","12,665",<20,n.p.,248,"10,741","216,744","227,485",
Commonwealth Seniors Health Card,<20,n.p.,"5,174",105,"97,455","97,560",<20,n.p.,817,84,"50,953","51,037",<20,n.p.,"19,023",<20,n.p.,"5,504",39,"72,911","72,950",22,"28,420","28,442",<20,n.p.,409,290,"280,626","280,916",
Double Orphan Pension,<20,<20,<20,<20,n.p.,317,<20,<20,<20,<20,n.p.,247,<20,n.p.,153,<20,n.p.,43,<20,n.p.,386,<20,n.p.,166,<20,<20,<20,79,"1,260","1,339",
Disability Support Pension,344,"8,219","8,563","14,965","253,248","268,213","6,420","3,339","9,759","10,425","153,469","163,894","3,067","71,699","74,766","1,503","26,490","27,993","3,393","197,988","201,381","6,352","56,412","62,764",42,"7,863","7,905","46,511","778,727","825,238",
Family Tax Benefit Part A,494,"15,577","16,071","23,096","465,032","488,128","9,976","8,028","18,004","23,087","307,692","330,779","4,665","115,365","120,030","2,462","39,666","42,128","4,772","378,034","382,806","12,098","124,114","136,212",<20,n.p.,"1,523","80,652","1,455,029","1,535,681",
Family Tax Benefit Part B,476,"14,786","15,262","21,812","404,256","426,068","9,278","7,281","16,559","21,703","267,669","289,372","4,429","96,354","100,783","2,194","32,804","34,998","4,490","324,968","329,458","11,801","117,549","129,350",<20,n.p.,898,"76,185","1,266,563","1,342,748",
Health Care Card,545,"13,635","14,180","25,862","411,564","437,426","15,556","5,208","20,764","28,491","267,590","296,081","6,437","110,221","116,658","2,539","39,347","41,886","5,788","407,824","413,612","16,176","104,092","120,268",<20,n.p.,848,"101,405","1,360,318","1,461,723",
Low Income Card,87,"4,110","4,197","2,920","87,888","90,808",157,527,684,"1,850","54,827","56,677",736,"25,105","25,841",414,"9,448","9,862","1,035","135,082","136,117",724,"23,307","24,031",<20,n.p.,289,"7,924","340,582","348,506",
Newstart Allowance,279,"4,975","5,254","14,698","192,468","207,166","8,906","2,313","11,219","16,107","121,633","137,740","3,832","54,331","58,163","1,274","19,886","21,160","3,157","160,161","163,318","9,320","46,445","55,765",<20,n.p.,44,"57,581","602,248","659,829",
Parenting Payment (Partnered),31,605,636,"1,378","33,750","35,128","2,340",321,"2,661","2,590","18,557","21,147",524,"7,169","7,693",266,"2,950","3,216",330,"25,179","25,509","1,432","6,350","7,782",<20,n.p.,93,"8,892","94,973","103,865",
Parenting Payment (Single),211,"2,379","2,590","9,892","70,687","80,579","2,403","1,201","3,604","9,334","51,929","61,263","1,921","17,532","19,453",789,"6,728","7,517","1,902","52,163","54,065","5,108","20,808","25,916",<20,n.p.,34,"31,560","223,461","255,021",
Partner Allowance,<20,n.p.,36,<20,n.p.,"3,073",<20,n.p.,34,27,"1,799","1,826",<20,n.p.,"1,017",<20,n.p.,509,<20,n.p.,"2,454",<20,n.p.,783,<20,<20,<20,68,"9,683","9,751",
Pensioner Concession Card,770,"35,908","36,678","38,835","1,248,598","1,287,433","12,475","12,201","24,676","30,656","725,697","756,353","7,394","331,164","338,558","3,753","114,087","117,840","8,057","952,885","960,942","16,724","304,276","321,000",25,"4,913","4,938","118,689","3,729,729","3,848,418",
