Payment_type,ACT_Partnered,ACT_Not_partnered,ACT_Total,NSW_Partnered,NSW_Not_partnered,NSW_Total,NT_Partnered,NT_Not_partnered,NT_Total,QLD_Partnered,QLD_Not_partnered,QLD_Total,SA_Partnered,SA_Not_partnered,SA_Total,TAS_Partnered,TAS_Not_partnered,TAS_Total,VIC_Partnered,VIC_Not_partnered,VIC_Total,WA_Partnered,WA_Not_partnered,WA_Total,Other_Partnered,Other_Not_partnered,Other_Total,Australia_Partnered,Australia_Not_partnered,Australia_Total,,,,,,,
ABSTUDY (Living allowance),<20,n.p.,97,263,"3,376","3,639",26,474,500,194,"2,307","2,501",45,678,723,22,278,300,56,814,870,36,733,769,n.p.,n.p.,<20,645,"8,760","9,405",,,,,,,
ABSTUDY (Non-living allowance),<20,n.p.,159,439,"7,459","7,898",530,"3,163","3,693",477,"6,092","6,569",119,"1,048","1,167",29,460,489,85,"1,130","1,215",130,"2,424","2,554",n.p.,n.p.,<20,"1,821","21,924","23,745",,,,,,,
Age Pension,"12,424","10,220","22,644","423,082","338,149","761,231","3,317","5,012","8,329","247,064","187,110","434,174","118,665","84,511","203,176","38,274","27,090","65,364","332,120","250,212","582,332","115,194","84,943","200,137","49,088","32,740","81,828","1,339,228","1,019,987","2,359,215",,,,,,,
Austudy,111,588,699,"3,820","11,602","15,422",<20,n.p.,168,"2,300","7,672","9,972","1,000","2,870","3,870",401,874,"1,275","2,602","10,762","13,364",689,"3,030","3,719",n.p.,n.p.,44,"10,952","37,581","48,533",,,,,,,
Carer Allowance,"3,601","1,598","5,199","134,321","66,873","201,225","1,857","1,030","2,887","74,557","32,754","107,317","31,690","13,836","45,531","11,338","4,670","16,008","106,651","44,833","151,510","27,219","10,675","37,899",249,131,380,"391,483","176,400","567,956",,,,,,,
Carer Allowance (Child Health Care Card only),153,71,224,"5,648","2,844","8,492",85,46,131,"2,295","1,239","3,534","1,523",734,"2,257",252,182,434,"4,199","1,741","5,940","1,218",543,"1,761",<20,<20,<20,"15,379","7,405","22,784",,,,,,,
Carer Payment,637,567,"1,204","50,637","37,994","88,631",699,605,"1,304","24,970","16,652","41,622","10,164","6,729","16,893","5,205","2,610","7,815","34,485","22,618","57,103","7,490","5,175","12,665",169,79,248,"134,456","93,029","227,485",,,,,,,
Commonwealth Seniors Health Card,"3,789","1,385","5,174","71,002","26,557","97,560",559,258,817,"38,283","12,753","51,037","14,386","4,636","19,023","4,142","1,362","5,504","53,849","19,099","72,950","21,203","7,239","28,442",317,92,409,"207,530","73,381","280,916",,,,,,,
Double Orphan Pension,<20,<20,<20,156,159,317,<20,<20,<20,119,128,247,81,72,153,n.p.,<20,43,201,185,386,85,79,166,<20,<20,<20,684,651,"1,339",,,,,,,
Disability Support Pension,"1,520","7,043","8,563","73,334","194,879","268,213","2,626","7,133","9,759","45,042","118,852","163,894","21,563","53,203","74,766","9,215","18,778","27,993","55,862","145,519","201,381","16,616","46,148","62,764","3,360","4,545","7,905","229,138","596,100","825,238",,,,,,,
Family Tax Benefit Part A,"8,277","7,785","16,071","283,358","204,618","488,128","9,543","8,453","18,004","180,957","149,626","330,779","68,933","51,076","120,030","23,445","18,679","42,128","234,899","147,780","382,806","73,847","62,284","136,212","1,302",221,"1,523","884,561","650,522","1,535,681",,,,,,,
Family Tax Benefit Part B,"6,992","8,260","15,262","221,666","204,251","426,068","7,970","8,580","16,559","140,684","148,500","289,372","50,227","50,535","100,783","16,600","18,392","34,998","182,877","146,455","329,458","66,894","62,375","129,350",732,166,898,"694,642","647,514","1,342,748",,,,,,,
Health Care Card,"4,389","9,679","14,180","174,095","262,329","437,426","10,416","10,325","20,764","110,930","184,020","296,081","42,335","73,948","116,658","16,448","25,311","41,886","154,203","255,415","413,612","42,532","77,056","120,268",514,332,848,"555,862","898,415","1,461,723",,,,,,,
Low Income Card,420,"3,720","4,197","17,071","73,227","90,808",76,597,684,"12,831","43,091","56,677","4,546","21,050","25,841","2,881","6,896","9,862","27,523","105,138","136,117","4,391","19,142","24,031",86,201,289,"69,825","273,062","348,506",,,,,,,
Newstart Allowance,827,"4,427","5,254","50,509","156,657","207,166","4,864","6,355","11,219","32,398","105,342","137,740","13,918","44,245","58,163","6,018","15,142","21,160","38,600","124,718","163,318","11,666","44,099","55,765",<20,n.p.,44,"158,818","501,011","659,829",,,,,,,
