Postcode,ABSTUDY_Living_allowance,ABSTUDY_Non_living_allowance,Age_Pension,Austudy,Carer_Allowance,Carer_Allowance_Child_Health_Care_Card_only,Carer_Payment,Commonwealth_Seniors_Health_Card,Double_Orphan_Pension,Disability_Support_Pension,Family_Tax_Benefit_Part_A,Family_Tax_Benefit_Part_B,Health_Care_Card,Low_Income_Card,Newstart_Allowance,Parenting_Payment_Partnered,Parenting_Payment_Single,Partner_Allowance,Pensioner_Concession_Card,Sickness_Allowance,Special_Benefit,Wife_Pension_Partner_on_Age_Pension,Wife_Pension_Partner_on_Disability_Support_Pension,Widow_Allowance,Widow_B_Pension,Youth_Allowance_other,Youth_Allowance_student_and_apprentice
200,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,36,36,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,42
800,<20,<20,166,<20,25,<20,<20,33,<20,303,145,141,277,22,215,<20,29,<20,512,<20,<20,<20,<20,<20,<20,<20,22
801,<20,<20,<20,<20,<20,<20,<20,<20,<20,21,<20,<20,<20,<20,<20,<20,<20,<20,40,<20,<20,<20,<20,<20,<20,<20,<20
803,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
804,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
810,39,100,"1,777",55,409,<20,151,210,<20,965,"1,900","1,692","1,344",169,625,93,317,<20,"3,339",<20,<20,<20,<20,<20,<20,90,121
811,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
812,22,132,934,30,333,<20,113,89,<20,549,"1,382","1,240",940,111,375,59,284,<20,"1,984",<20,<20,<20,<20,<20,<20,81,92
813,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
814,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
815,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
820,<20,37,659,25,137,<20,42,111,<20,502,695,637,578,45,314,41,109,<20,"1,367",<20,<20,<20,<20,<20,<20,56,45
821,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
822,136,"1,265",594,<20,336,<20,222,<20,<20,"1,840","3,414","3,125","5,471",47,"3,030",891,604,<20,"3,658",<20,<20,<20,<20,22,<20,635,<20
828,<20,<20,42,<20,20,<20,<20,<20,<20,104,87,85,129,<20,83,<20,26,<20,195,<20,<20,<20,<20,<20,<20,<20,<20
829,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
830,29,127,659,<20,335,22,136,48,<20,727,"1,631","1,520","1,050",47,484,79,417,<20,"2,077",<20,<20,<20,<20,<20,<20,116,42
831,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
832,<20,27,226,<20,124,20,26,27,<20,120,769,725,313,20,95,<20,160,<20,562,<20,<20,<20,<20,<20,<20,22,<20
834,<20,<20,68,<20,25,<20,<20,<20,<20,39,75,67,56,<20,25,<20,23,<20,142,<20,<20,<20,<20,<20,<20,<20,<20
835,<20,<20,208,<20,58,<20,<20,37,<20,79,138,127,121,<20,60,<20,21,<20,347,<20,<20,<20,<20,<20,<20,<20,<20
836,<20,21,312,<20,104,<20,29,35,<20,175,385,366,278,<20,134,<20,61,<20,614,<20,<20,<20,<20,<20,<20,23,<20
837,<20,<20,41,<20,<20,<20,<20,<20,<20,35,42,38,42,<20,22,<20,<20,<20,101,<20,<20,<20,<20,<20,<20,<20,<20
838,<20,<20,45,<20,<20,<20,<20,<20,<20,45,60,56,57,<20,34,<20,<20,<20,115,<20,<20,<20,<20,<20,<20,<20,<20
839,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,25,<20,<20,<20,<20,<20,<20,<20,<20
840,<20,<20,52,<20,<20,<20,<20,<20,<20,44,<20,<20,26,<20,27,<20,<20,<20,116,<20,<20,<20,<20,<20,<20,<20,<20
841,<20,<20,44,<20,<20,<20,<20,<20,<20,49,64,57,58,<20,38,<20,<20,<20,115,<20,<20,<20,<20,<20,<20,<20,<20
845,<20,<20,51,<20,<20,<20,<20,<20,<20,54,79,70,81,<20,48,<20,34,<20,157,<20,<20,<20,<20,<20,<20,<20,<20
846,<20,<20,55,<20,<20,<20,<20,<20,<20,31,25,26,32,<20,<20,<20,<20,<20,98,<20,<20,<20,<20,<20,<20,<20,<20
847,<20,<20,29,<20,<20,<20,<20,<20,<20,23,36,34,51,<20,28,<20,<20,<20,60,<20,<20,<20,<20,<20,<20,<20,<20
850,21,87,377,<20,111,<20,52,20,<20,575,681,633,636,24,324,82,158,<20,"1,201",<20,<20,<20,<20,<20,<20,61,<20
851,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,24,22,20,<20,<20,<20,<20,<20,31,<20,<20,<20,<20,<20,<20,<20,<20
852,32,473,212,<20,111,<20,80,<20,<20,578,"1,196","1,067","1,987",<20,"1,066",387,202,<20,"1,180",<20,<20,<20,<20,<20,<20,242,<20
853,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,33,32,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
854,<20,39,73,<20,<20,<20,<20,<20,<20,57,170,148,316,<20,123,36,33,<20,186,<20,<20,<20,<20,<20,<20,52,<20
860,20,95,136,<20,58,<20,33,<20,<20,278,329,302,484,<20,291,51,92,<20,567,<20,<20,<20,<20,<20,<20,59,<20
861,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
862,<20,42,24,<20,<20,<20,<20,<20,<20,57,139,124,239,<20,128,34,29,<20,140,<20,<20,<20,<20,<20,<20,23,<20
870,36,184,934,<20,273,<20,135,115,<20,"1,169","1,662","1,537","1,372",60,816,96,415,<20,"2,798",<20,<20,<20,<20,<20,<20,122,35
871,<20,<20,34,<20,<20,<20,<20,<20,<20,42,51,43,46,<20,28,<20,<20,<20,91,<20,<20,<20,<20,<20,<20,<20,<20
872,111,845,531,<20,224,<20,158,<20,<20,"1,242","2,447","2,277","4,705",49,"2,810",725,479,<20,"2,692",<20,<20,<20,<20,<20,<20,642,<20
873,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
875,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,41,37,39,<20,22,<20,<20,<20,37,<20,<20,<20,<20,<20,<20,<20,<20
880,50,196,77,<20,85,<20,38,<20,<20,272,607,603,811,<20,387,97,113,<20,570,<20,<20,<20,<20,<20,<20,64,<20
881,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
885,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,23,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
886,<20,23,<20,<20,<20,<20,<20,<20,<20,37,82,91,112,<20,47,<20,<20,<20,75,<20,<20,<20,<20,<20,<20,<20,<20
909,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20,<20
